age,share_any_care,share_moderate_care,share_high_care,n_agents
40,0.0,0.0,0.0,100000
41,0.0,0.0,0.0,99952
42,0.0,0.0,0.0,99897
43,0.0,0.0,0.0,99839
44,0.0,0.0,0.0,99777
45,0.06360080240722167,0.030802407221664996,0.03279839518555667,99700
46,0.06537036851139866,0.0316512241886425,0.033719144322756155,99617
47,0.06896690312079255,0.03229306914776038,0.03667383397303217,99526
48,0.07065414169046949,0.03282777487226938,0.037826366818200105,99428
49,0.07220605560198565,0.033359177549766895,0.038846878052218745,99313
50,0.07315548565321718,0.03272639283769887,0.04042909281551832,99186
51,0.07261509254864737,0.032303668622322756,0.04031142392632461,99029
52,0.07138089362648921,0.03138210724326948,0.03999878638321973,98878
53,0.06737304875454574,0.029062287908102797,0.038310760846442936,98719
54,0.06530980813912196,0.028266758657075314,0.037043049482046654,98561
55,0.05985339121770693,0.024705918236627794,0.03514747298107913,98357
56,0.05529338619754773,0.02325889535535556,0.03203449084219217,98113
57,0.04871891831124102,0.019581591668625508,0.02913732664261551,97847
58,0.043612845033465554,0.017332390352900177,0.026280454680565377,97563
59,0.0362800362080316,0.013958607636603029,0.022321428571428572,97216
60,0.029545055693772002,0.010963259659953133,0.01858179603381887,96869
61,0.024348024379120196,0.008893403540776982,0.015454620838343215,96476
62,0.018893274869028153,0.006697009779925635,0.012196265089102517,96013
63,0.01425414480367822,0.00497481174265037,0.009279333061027848,95481
64,0.011174773028879573,0.0038337581362037367,0.007341014892675837,94946
65,0.007421307634405182,0.002332410970813057,0.005088896663592125,94323
66,0.004228329809725159,0.0012599568624938604,0.002968372947231298,93654
67,0.0025066161757428406,0.0007960926910084558,0.0017105234847343848,92954
68,0.0015191137056608688,0.0004448832995149687,0.0010742304061459,92159
69,0.0009315272663510434,0.00019726459758022093,0.0007342626687708224,91248
70,0.00047609030215126384,0.00011071867491889857,0.0003653716272323653,90319
71,0.0,0.0,0.0,89268
72,0.0,0.0,0.0,88096
73,0.0,0.0,0.0,86858
74,0.0,0.0,0.0,85507
75,0.0,0.0,0.0,83893
76,0.0,0.0,0.0,82155
77,0.0,0.0,0.0,80290
78,0.0,0.0,0.0,78165
79,0.0,0.0,0.0,75864
80,0.0,0.0,0.0,73466
81,0.0,0.0,0.0,70776
82,0.0,0.0,0.0,67787
83,0.0,0.0,0.0,64519
84,0.0,0.0,0.0,61003
85,0.0,0.0,0.0,57048
86,0.0,0.0,0.0,52796
87,0.0,0.0,0.0,48189
88,0.0,0.0,0.0,43244
89,0.0,0.0,0.0,38121
90,0.0,0.0,0.0,32873
91,0.0,0.0,0.0,27843
92,0.0,0.0,0.0,23007
93,0.0,0.0,0.0,18435
94,0.0,0.0,0.0,14463
95,0.0,0.0,0.0,11111
96,0.0,0.0,0.0,8431
97,0.0,0.0,0.0,6180
98,0.0,0.0,0.0,4443
99,0.0,0.0,0.0,3103
100,0.0,0.0,0.0,2102
