age,share_care_demand,n_agents,n_with_care_demand,share_informal_absolute,share_formal_absolute,share_other_family_absolute,share_informal_within_demand,share_formal_within_demand,share_other_family_within_demand
40,0.0,100000,0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,99952,0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,99897,0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,99839,0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,99777,0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.06360080240722167,99700,6341,0.041133400200601807,0.001965897693079238,0.020501504513540623,0.6467434158650055,0.030909951111812016,0.32234663302318245
46,0.06537036851139866,99617,6512,0.04205105554272865,0.002369073551703023,0.020950239416966984,0.6432739557739557,0.03624078624078624,0.320485257985258
47,0.06896690312079255,99526,6864,0.0443401724172578,0.00265257319695356,0.02197415750658119,0.6429195804195804,0.038461538461538464,0.3186188811188811
48,0.07065414169046949,99428,7025,0.04511807539123789,0.0031781791849378447,0.022357887114293762,0.638576512455516,0.04498220640569395,0.31644128113879005
49,0.07220605560198565,99313,7171,0.04547239535609639,0.003967255042139499,0.022766405203749764,0.6297587505229396,0.05494352252126621,0.31529772695579417
50,0.07315548565321718,99186,7256,0.0462061177988829,0.004547012683241586,0.022402355171092694,0.6316152149944874,0.06215545755237045,0.30622932745314224
51,0.07261509254864737,99029,7191,0.04436074281271143,0.005523634490906704,0.022730715245029235,0.6109025170351828,0.07606730635516618,0.31303017660965093
52,0.07138089362648921,98878,7058,0.04243613341693805,0.00665466534517284,0.022290094864378326,0.5945026919807311,0.0932275432133749,0.312269764805894
53,0.06737304875454574,98719,6651,0.040448140682138194,0.006776810948247045,0.020148097124160498,0.600360847992783,0.10058637798827244,0.29905277401894453
54,0.06530980813912196,98561,6437,0.03795618956788182,0.007274682683820172,0.02007893588741997,0.5811713531148051,0.11138729221687121,0.30744135466832373
55,0.05985339121770693,98357,5887,0.03380542310155861,0.0077066197627011805,0.018341348353447137,0.5648038049940547,0.12875828095804315,0.30643791404790216
56,0.05529338619754773,98113,5425,0.03011833294262738,0.007980593805102281,0.017194459449818067,0.5447004608294931,0.14433179723502304,0.3109677419354839
