age,share_informal_care,n_agents
40,0.0,100000
41,0.0,99952
42,0.0,99897
43,0.0,99839
44,0.0,99777
45,0.042647943831494485,99700
46,0.04320547697682123,99617
47,0.04570664951871873,99526
48,0.04604336806533371,99428
49,0.046267860199571055,99313
50,0.04727481701046519,99186
51,0.0459663330943461,99029
52,0.04408462954347782,98878
53,0.04136994904729586,98719
54,0.038686701636549956,98561
55,0.033978262858769585,98357
56,0.03092352695361471,98113
57,0.02630637628133719,97847
58,0.022908274653300944,97563
59,0.01842289335088874,97216
60,0.014514447346416295,96869
61,0.011121937062067249,96476
62,0.00865507795819316,96013
63,0.006849530273038615,95481
64,0.004507825500810987,94946
65,0.0027776894288773684,94323
66,0.0013880880688491681,93654
67,0.0009682208404156895,92954
68,0.0006184962944476394,92159
69,0.000438365772400491,91248
70,0.00022143734983779713,90319
71,0.0,89268
72,1.135125317835089e-05,88096
73,3.4539132837504894e-05,86858
74,3.5084846854643476e-05,85507
75,2.3839891290095717e-05,83893
76,2.4344227375083682e-05,82155
77,1.2454851164528584e-05,80290
78,2.5586899507452185e-05,78165
79,2.6362965306337657e-05,75864
80,2.72234775270193e-05,73466
81,2.8258166610150335e-05,70776
82,4.425627332674407e-05,67787
83,4.649793084207753e-05,64519
84,3.278527285543334e-05,61003
85,3.5058196606366565e-05,57048
86,9.470414425335253e-05,52796
87,0.0002075162381456349,48189
88,0.0003468689297937286,43244
89,0.00047218068780986857,38121
90,0.0007300824384753445,32873
91,0.0009697230901842474,27843
92,0.001043160777154779,23007
93,0.0009764035801464605,18435
94,0.0009679872778814907,14463
95,0.000990009900099001,11111
96,0.0011860989206499823,8431
97,0.000970873786407767,6180
98,0.0009002925950934053,4443
99,0.0006445375443119562,3103
100,0.0009514747859181732,2102
